#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Program Compatibility Assistant attempted to connect an event for process ID 3520, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","14","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","960","1128","rjaf-PC4429","S-1-5-18","3/8/2014 9:44:56 AM","b1603fae-8bf8-477d-828f-a7d9c73a1110",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3520, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","13","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","960","988","rjaf-PC4429","S-1-5-18","3/8/2014 9:44:56 AM","07797479-cf43-430c-ab92-1d8359384ec7",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3520, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","12","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","960","1156","rjaf-PC4429","S-1-5-18","3/8/2014 9:44:56 AM","ad2d7675-3097-47d2-a472-4cf5af42aa15",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3520, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","11","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","960","2952","rjaf-PC4429","S-1-5-18","3/8/2014 9:44:56 AM","0c472c57-d16d-4ec9-aefe-475699860024",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3596, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","10","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","936","3672","rjaf-PC4429","S-1-5-18","1/30/2014 5:15:11 AM","f8c55fc0-7e7e-4577-9a0e-f8ccbadd25e2",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3596, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","9","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","936","3500","rjaf-PC4429","S-1-5-18","1/30/2014 5:15:11 AM","ccbf084f-ab33-4be4-8530-45d0791ee782",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3608, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","8","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","964","3132","rjaf-PC4429","S-1-5-18","1/25/2014 6:20:46 AM","4bebce57-94cd-421d-a056-f39a3a60dcad",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3608, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","7","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","964","1824","rjaf-PC4429","S-1-5-18","1/25/2014 6:20:46 AM","fa6987b7-2da3-4fd7-8598-aaa0e1b830e2",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3608, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","6","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","964","988","rjaf-PC4429","S-1-5-18","1/25/2014 6:20:46 AM","664de763-22a2-4746-8c6d-21fd8084c690",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Program Compatibility Assistant attempted to connect an event for process ID 3608, but the Program Compatibility Assistant service was unable to locate the process.","400","0",,"2","0","0","2305843009213693952","5","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Compatibility-Assistant","964","1176","rjaf-PC4429","S-1-5-18","1/25/2014 6:20:46 AM","27939f20-afaa-489b-8e2e-14b735063f41",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-compatibility-assistant.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
