#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?08?-?17T00:03:20.161733600Z, StopTime: ?2015?-?08?-?17T00:09:23.940540600Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","932","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","4724","4280","rjaf-PC4429","S-1-5-18","8/16/2015 5:09:23 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?08?-?16T11:01:34.967401500Z, StopTime: ?2015?-?08?-?16T11:14:05.453519600Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","931","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","316","1132","rjaf-PC4429","S-1-5-18","8/16/2015 4:14:05 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?08?-?16T07:34:52.301778000Z, StopTime: ?2015?-?08?-?16T07:37:08.053216400Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","930","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","3008","2324","rjaf-PC4429","S-1-5-18","8/16/2015 12:37:08 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?08?-?13T07:01:10.737724400Z, StopTime: ?2015?-?08?-?13T07:03:30.919570600Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","929","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","992","5900","rjaf-PC4429","S-1-5-18","8/13/2015 12:03:30 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?07?-?30T06:59:39.507324100Z, StopTime: ?2015?-?07?-?30T07:02:15.762261400Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","928","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","5984","5204","rjaf-PC4429","S-1-5-18","7/30/2015 12:02:15 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?07?-?28T06:47:59.813476200Z, StopTime: ?2015?-?07?-?28T06:50:10.054925500Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","927","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","4780","5608","rjaf-PC4429","S-1-5-18","7/27/2015 11:50:10 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?07?-?27T07:45:17.072516900Z, StopTime: ?2015?-?07?-?27T07:47:22.529692600Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","926","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","3288","2580","rjaf-PC4429","S-1-5-18","7/27/2015 12:47:22 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?07?-?23T12:13:21.842527900Z, StopTime: ?2015?-?07?-?23T12:16:32.621439800Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","925","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","4472","1372","rjaf-PC4429","S-1-5-18","7/23/2015 5:16:32 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?06?-?30T07:38:42.608973300Z, StopTime: ?2015?-?06?-?30T07:48:54.058089800Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","924","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","4828","5200","rjaf-PC4429","S-1-5-18","6/30/2015 12:48:54 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"An instance of Program Data Updater (PDU) ran with the following information: StartTime: ?2015?-?06?-?29T21:54:04.159895000Z, StopTime: ?2015?-?06?-?29T22:03:49.816123700Z, ExitCode: 528, Number of new programs: 0, Number of removed programs: 0, Number of updated programs: 0, Number of installed programs: 0, Number of new orphan files: 0, Number of new add-ons: 0, Number of removed add-ons: 0, Number of updated add-ons: 0, Number of installed add-ons: 0, Number of new installations: 0","800","0",,"4","0","0","576460752303423488","923","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Inventory","5764","3752","rjaf-PC4429","S-1-5-18","6/29/2015 3:03:49 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-inventory.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
