#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","546","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","2632","4852","rjaf-PC4429","S-1-5-18","10/17/2015 11:24:25 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","545","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","3892","1572","rjaf-PC4429","S-1-5-18","10/13/2015 4:22:59 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","544","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","2616","2812","rjaf-PC4429","S-1-5-18","10/11/2015 1:15:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","543","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","3824","3600","rjaf-PC4429","S-1-5-18","10/1/2015 4:43:07 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","542","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","2628","2760","rjaf-PC4429","S-1-5-18","9/30/2015 3:51:48 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","541","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","4092","2684","rjaf-PC4429","S-1-5-18","9/29/2015 12:22:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","540","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","3716","1780","rjaf-PC4429","S-1-5-18","9/21/2015 11:44:53 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","539","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","2716","3220","rjaf-PC4429","S-1-5-18","9/19/2015 11:39:20 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","538","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","3912","3400","rjaf-PC4429","S-1-5-18","9/10/2015 5:04:47 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Application Impact Telemetry (AIT) Agent is not running because AIT is disabled.","701","0",,"4","0","0","1152921504606846976","537","Microsoft-Windows-Application-Experience","eef54e71-0661-422d-9a98-82fd4940b820","Microsoft-Windows-Application-Experience/Program-Telemetry","1692","5336","rjaf-PC4429","S-1-5-18","9/3/2015 4:56:58 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-application-experience%4program-telemetry.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
