#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The backup operation has completed.","14","2",,"4","0","2","4611686018427387904","39","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2372","3808","rjaf-PC4429","S-1-5-18","7/7/2015 1:35:55 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The backup operation has finished successfully.","4","2",,"4","0","0","4611686018427387904","38","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2372","3808","rjaf-PC4429","S-1-5-18","7/7/2015 1:35:55 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The backup operation has started.","1","1",,"4","0","1","4611686018427387904","37","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2372","3808","rjaf-PC4429","S-1-5-18","7/7/2015 12:30:32 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The backup operation has completed.","14","2",,"4","0","2","4611686018427387904","36","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2260","1604","rjaf-PC4429","S-1-5-18","7/2/2015 4:59:58 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The backup operation was canceled.","8","2",,"2","0","0","4611686018427387904","35","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2260","1604","rjaf-PC4429","S-1-5-18","7/2/2015 4:59:58 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Server Backup is waiting for a DVD to be inserted into the drive.","53","0",,"4","0","0","4611686018427387904","34","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2260","1604","rjaf-PC4429","S-1-5-18","7/2/2015 4:49:40 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The backup operation has failed because the required space was not available on the backup storage location. Free up space on the storage location or change the storage location to one with enough space to run the backup.","50","0",,"2","0","0","4611686018427387904","33","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2260","1604","rjaf-PC4429","S-1-5-18","7/2/2015 4:44:09 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Server Backup is waiting for a DVD to be inserted into the drive.","53","0",,"4","0","0","4611686018427387904","32","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2260","1604","rjaf-PC4429","S-1-5-18","7/2/2015 4:36:11 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The backup operation has failed because the required space was not available on the backup storage location. Free up space on the storage location or change the storage location to one with enough space to run the backup.","50","0",,"2","0","0","4611686018427387904","31","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2260","1604","rjaf-PC4429","S-1-5-18","7/2/2015 4:30:40 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Server Backup is waiting for a DVD to be inserted into the drive.","53","0",,"4","0","0","4611686018427387904","30","Microsoft-Windows-Backup","1db28f2e-8f80-4027-8c5a-a11f7f10f62d","Microsoft-Windows-Backup","2260","1604","rjaf-PC4429","S-1-5-18","7/2/2015 4:24:08 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-backup.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
