#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Windows\TEMP\GUR4BCE.exe, jobID: {1E923DD3-5179-4582-81F4-E1E3B40B2E49}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10832","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","3040","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:24 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Windows\TEMP\GUR4BCE.exe, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10831","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","3040","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:23 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Windows\TEMP\GUR4BCE.exe, jobID: {C65CA0DE-4819-42F2-B405-A2C3A4B05EE3}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10830","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","3040","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:23 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Windows\TEMP\GUR4BCE.exe, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10829","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","2900","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:23 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Users\rjaf\AppData\Local\{FADAEB52-48D5-42CB-928A-E62080131D15}, jobID: {2AE3BE6B-9BD5-4048-8966-F6B38A7F5E25}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10828","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","2900","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:22 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Users\rjaf\AppData\Local\{FADAEB52-48D5-42CB-928A-E62080131D15}, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10827","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","3040","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:22 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Users\rjaf\AppData\Local\{FADAEB52-48D5-42CB-928A-E62080131D15}, jobID: {5BC88588-AB61-4E5E-A57F-548DDE65E751}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10826","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","3040","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:22 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Users\rjaf\AppData\Local\{FADAEB52-48D5-42CB-928A-E62080131D15}, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10825","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","3040","rjaf-PC4429","S-1-5-18","9/21/2015 11:27:20 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Windows\TEMP\GUR7C1D.exe, jobID: {452F65E3-D56E-40B8-B74F-D612C1B83B99}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10824","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","1720","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:03 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Windows\TEMP\GUR7C1D.exe, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10823","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","376","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:03 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Windows\TEMP\GUR7C1D.exe, jobID: {51086FEA-A93D-4E19-A02E-69CCCF0EEBFD}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10822","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","376","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:03 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Windows\TEMP\GUR7C1D.exe, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10821","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","1720","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:02 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Users\rjaf\AppData\Local\{56E17542-E5DC-4D63-95CD-33E0CA3742C5}, jobID: {C08904AF-FADA-4635-84A9-A70EF986EA1C}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10820","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","1720","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:02 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Users\rjaf\AppData\Local\{56E17542-E5DC-4D63-95CD-33E0CA3742C5}, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10819","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","376","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:01 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: NT AUTHORITY\SYSTEM, job: C:\Users\rjaf\AppData\Local\{56E17542-E5DC-4D63-95CD-33E0CA3742C5}, jobID: {CEC667DD-DC1C-423A-9189-F9DBE5A5768A}, owner: NT AUTHORITY\SYSTEM, filecount: 1","5","0",,"4","0","0","4611686018427387904","10818","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","376","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:01 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job: C:\Users\rjaf\AppData\Local\{56E17542-E5DC-4D63-95CD-33E0CA3742C5}, with owner NT AUTHORITY\SYSTEM","3","0",,"4","0","0","4611686018427387904","10817","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","1720","rjaf-PC4429","S-1-5-18","9/12/2015 10:31:00 PM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Job cancelled. User: RJAF-PC4429\rjaf, job: {AC76BA86-7AD7-1033-7B44-A95000000001}, jobID: {691E25B4-2AE2-493B-B98E-368674D52864}, owner: RJAF-PC4429\rjaf, filecount: 1","5","0",,"4","0","0","4611686018427387904","10816","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","1416","3700","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/10/2015 3:39:52 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-bits-client%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
