#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4521","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","5968","rjaf-PC4429","S-1-5-18","10/17/2015 11:21:24 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4520","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","4468","rjaf-PC4429","S-1-5-18","10/17/2015 10:30:52 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4519","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","1376","rjaf-PC4429","S-1-5-18","10/13/2015 4:21:54 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4518","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","3932","rjaf-PC4429","S-1-5-18","10/12/2015 11:56:37 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4517","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","3776","rjaf-PC4429","S-1-5-18","10/11/2015 2:21:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4516","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","1376","rjaf-PC4429","S-1-5-18","10/11/2015 1:21:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4515","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","1376","rjaf-PC4429","S-1-5-18","10/11/2015 12:21:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4514","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","3508","rjaf-PC4429","S-1-5-18","10/11/2015 12:16:00 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4513","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","1376","rjaf-PC4429","S-1-5-18","10/1/2015 6:21:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A summary of the Client Side Caching counters has been generated. The counter list can be found in the event details.","3005","0",,"4","0","0","-9223372036854773760","4512","Microsoft-Windows-BranchCacheSMB","4a933674-fb3d-4e8d-b01d-17ee14e91a3e","Microsoft-Windows-BranchCacheSMB/Operational","1364","3688","rjaf-PC4429","S-1-5-18","10/1/2015 5:21:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-branchcachesmb%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
