#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The IP address lease 192.168.1.4 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","113","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","1324","7972","rjaf-PC4429","S-1-5-19","9/7/2015 12:18:16 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.7 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","112","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","1324","6716","rjaf-PC4429","S-1-5-19","9/6/2015 3:31:50 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.30 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","111","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","1324","2880","rjaf-PC4429","S-1-5-19","9/3/2015 4:39:33 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.3 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","110","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","1332","5660","rjaf-PC4429","S-1-5-19","8/25/2015 12:52:03 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Your computer was not assigned an address from the network (by the DHCP Server) for the Network Card with network address 0xECA86BF671F9.  The following error occurred: 0x79. Your computer will continue to try and obtain an address on its own from the network address (DHCP) server.","1001","0",,"2","3","75","4611686018427387904","109","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","1200","2596","rjaf-PC4429","S-1-5-19","8/16/2015 4:03:28 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpAddressNotAssigned","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","108","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","1188","1732","rjaf-PC4429","S-1-5-19","6/4/2015 10:17:42 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","107","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","1200","1660","rjaf-PC4429","S-1-5-19","6/3/2015 4:14:58 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","106","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","912","1412","rjaf-PC4429","S-1-5-19","5/17/2015 7:30:39 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","105","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","860","1292","rjaf-PC4429","S-1-5-19","5/12/2015 2:30:19 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","104","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","868","1228","rjaf-PC4429","S-1-5-19","4/29/2015 1:56:03 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","103","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","896","4028","rjaf-PC4429","S-1-5-19","4/26/2015 11:41:27 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","102","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","896","1232","rjaf-PC4429","S-1-5-19","4/25/2015 10:59:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","101","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","884","1252","rjaf-PC4429","S-1-5-19","4/24/2015 11:42:44 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","100","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","864","2568","rjaf-PC4429","S-1-5-19","4/23/2015 8:02:29 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","99","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","864","2688","rjaf-PC4429","S-1-5-19","4/23/2015 7:04:46 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The IP address lease 192.168.1.33 for the Network Card with network address 0xECA86BF671F9 has been denied by the DHCP server 192.168.1.1 (The DHCP Server sent a DHCPNACK message).","1002","0",,"2","3","76","4611686018427387904","98","Microsoft-Windows-Dhcp-Client","15a7a4f8-0072-4eab-abad-f98a4d666aed","Microsoft-Windows-Dhcp-Client/Admin","880","1256","rjaf-PC4429","S-1-5-19","4/22/2015 10:29:09 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-dhcp-client%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","IpLeaseDenied","Address Configuration State Event","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
