#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The scripted diagnostic engine completed diagnosing the diagnostic package MaintenanceDiagnostic.","104","0",,"4","0","0","4611686052787126272","1753","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","1328","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","10/11/2015 1:22:31 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine started diagnosing the diagnostic package MaintenanceDiagnostic.","103","0",,"4","0","0","4611686052787126272","1752","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","1328","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","10/11/2015 1:22:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine completed initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance.","102","0",,"4","0","0","4611686052787126272","1751","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","1328","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","10/11/2015 1:22:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine started initializing a diagnostic package located at C:\Windows\diagnostics\scheduled\Maintenance.","101","0",,"4","0","0","4611686052787126272","1750","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","1328","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","10/11/2015 1:22:23 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Rootcause RC_DiagnosticHistory/DefaultInstanceId was resolved in package MaintenanceDiagnostic.","402","0",,"4","0","0","4611686052787126272","1749","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","4032","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/29/2015 12:29:44 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine completed verifying the diagnostic package MaintenanceDiagnostic.","108","0",,"4","0","0","4611686052787126272","1748","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","4032","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/29/2015 12:29:44 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine started verifying the diagnostic package MaintenanceDiagnostic.","107","0",,"4","0","0","4611686052787126272","1747","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","4032","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/29/2015 12:29:44 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine completed running the resolution RC_DiagnosticHistory/DefaultInstanceId/RS_AdminDiagnosticHistory in the diagnostic package MaintenanceDiagnostic.","106","0",,"4","0","0","4611686052787126272","1746","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","4032","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/29/2015 12:29:44 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine started running the resolution RC_DiagnosticHistory/DefaultInstanceId/RS_AdminDiagnosticHistory in the diagnostic package MaintenanceDiagnostic.","105","0",,"4","0","0","4611686052787126272","1745","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","4032","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/29/2015 12:29:44 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The scripted diagnostic engine completed verifying the diagnostic package MaintenanceDiagnostic.","108","0",,"4","0","0","4611686052787126272","1744","Microsoft-Windows-Diagnosis-Scripted","e1dd7e52-621d-44e3-a1ad-0370c2b25946","Microsoft-Windows-Diagnosis-Scripted/Operational","2772","4032","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/29/2015 12:29:44 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripted%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
