#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was en-US.  The size of the result set was 1.","1000","0",,"4","0","0","-9223372036854775808","609","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","4932","5444","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/25/2015 1:01:47 AM","cf0b9ef1-a974-4e13-87c2-be1a12866591",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Timed out waiting for a response from the remote server wer.microsoft.com at the URL path Responses/v1.0/8789/1033.1033/6.1.7600.1.0.0.0/4/Unknown.","3004","0",,"3","0","0","-9223372036854775808","608","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","4932","2460","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/25/2015 1:01:47 AM","cf0b9ef1-a974-4e13-87c2-be1a12866591",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The diagnostic package index information was successfully loaded from C:\Windows\Diagnostics\Index\AudioPlaybackDiagnostic.xml.","2000","0",,"4","0","0","-9223372036854775808","607","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","4932","3104","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/25/2015 1:01:42 AM","cf0b9ef1-a974-4e13-87c2-be1a12866591",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Sending request to the remote server wer.microsoft.com at the URL path Responses/v1.0/8789/1033.1033/6.1.7600.1.0.0.0/4/Unknown.  Contents of the request are: Partner=ScriptedDiagnostics&OS=6.1&SP=0.0&Build=7600&SKU=4&Arch=0&Type=1&MobilePc=0&Internal=0&GeoId=244&BIOSMajorRelease=4&BIOSMinorRelease=6&Locale=en-US&LocaleFallback=en-US&OEM=Unknown&Model=Unknown&Family=To+be+filled+by+O.E.M&OEMSKU=To+be+filled+by+O.E.M.&BaseBoardOEM=Intel+Corporation&BaseBoardModel=DH61BF&BaseBoardVersion=AAG81311-101&BIOSVendor=Intel+Corp&BIOSVersion=BFH6110H.86A.0007.2012.1128.1459&BIOSReleaseDate=11Responses/v1.0/8789/1033.1033/6.1.7600.1.0.0.0/4/UnknownF28Responses/v1.0/8789/1033.1033/6.1.7600.1.0.0.0/4/UnknownF2012&id=AudioPlaybackDiagnostic.","3000","0",,"4","0","0","-9223372036854775808","606","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","4932","2460","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/25/2015 1:01:42 AM","cf0b9ef1-a974-4e13-87c2-be1a12866591",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The diagnostic package index information was successfully loaded from C:\Windows\Diagnostics\Index\AeroDiagnostic.xml.","2000","0",,"4","0","0","-9223372036854775808","605","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","4932","3104","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/25/2015 1:01:42 AM","cf0b9ef1-a974-4e13-87c2-be1a12866591",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The following system configuration will be used when querying content providers: OS Major Version (6); OS Minor Version (1); Service Pack Major (0); Service Pack Minor (0); Build Number (7600); Product Type (4); Processor Architecture (0); Culture (en-US); System Type (1); OEM (Unknown); Model (Unknown); IsMobilePc (false); IsInternal (false); GeoId (244); Family (To be filled by O.E.M); OEM SKU (To be filled by O.E.M.); Version (NULL); Base Board OEM (Intel Corporation); Base Board Model (DH61BF); Base Board Version (AAG81311-101); BIOS Vendor (Intel Corp); BIOS Version (BFH6110H.86A.0007.2012.1128.1459); BIOS Release Date (11/28/2012); BIOS Major Release (4); BIOS Minor Release (6); Embedded Controller Firmware Major Release (255); Embedded Controller Firmware Minor Release (255).","3014","0",,"4","0","0","-9223372036854775808","604","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","4932","2460","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/25/2015 1:01:42 AM","cf0b9ef1-a974-4e13-87c2-be1a12866591",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Scripted Diagnostic Provider API IDiagnosticProvider Cancel method succeeded.","1010","0",,"4","0","0","-9223372036854775808","603","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","5384","4960","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/25/2015 1:22:29 PM","25214b6c-a748-4086-836b-06dc96eb2069",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Scripted Diagnostic Provider API IDiagnosticProvider Cancel method succeeded.","1010","0",,"4","0","0","-9223372036854775808","602","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","5384","5104","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/25/2015 1:22:29 PM","25214b6c-a748-4086-836b-06dc96eb2069",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was en-US.  The size of the result set was 1.","1000","0",,"4","0","0","-9223372036854775808","601","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","3296","3300","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","4/8/2015 11:44:33 PM","8923e908-6418-47e4-a3c7-60759d2bbac7",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Parsed valid response from the remote server wer.microsoft.com at the URL path Responses/v1.0/8789/1033.1033/6.1.7600.1.0.0.0/4/Unknown.","3007","0",,"4","0","0","-9223372036854775808","600","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider","9363ccd9-d429-4452-9adb-2501e704b810","Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational","3296","3312","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","4/8/2015 11:44:33 PM","8923e908-6418-47e4-a3c7-60759d2bbac7",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnosis-scripteddiagnosticsprovider%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
