#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Network Diagnostics Framework started because the user requested a diagnostics session. 

Helper Class Name: NetConnection 

Number of parameters: 1 

Attributes passed to helper class: 
guid={9819BC20-693D-4f54-9CE8-7BFD5AD735CE};","1000","0",,"4","1","1","-9223301668110598143","86","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1404","3188","rjaf-PC4429","S-1-5-19","8/16/2015 4:11:52 AM","7b86f2cf-119c-40b0-8c89-80aa976af24d",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Start","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework started because the user requested a diagnostics session. 

Helper Class Name: NetConnection 

Number of parameters: 1 

Attributes passed to helper class: 
guid={9819BC20-693D-4f54-9CE8-7BFD5AD735CE};","1000","0",,"4","1","1","-9223301668110598143","85","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1404","580","rjaf-PC4429","S-1-5-19","8/16/2015 4:11:26 AM","afa8f3e8-d19b-4558-a444-f793d990b26c",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Start","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. 

Result: Success, no problems found. [1]","2000","0",,"4","2","2","-9223301668110598143","84","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1496","648","rjaf-PC4429","S-1-5-19","6/4/2015 7:18:30 AM","59141146-9834-4aae-8966-db6d9bc5ef87",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Stop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework started because the user requested a diagnostics session. 

Helper Class Name: WinInetHelperClass 

Number of parameters: 2 

Attributes passed to helper class: 
URL=""""; AppID=""C:\Program Files\Internet Explorer\iexplore.exe""; ","1000","0",,"4","1","1","-9223301668110598143","83","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1496","5000","rjaf-PC4429","S-1-5-19","6/4/2015 7:13:31 AM","59141146-9834-4aae-8966-db6d9bc5ef87",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Start","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework started because the user requested a diagnostics session. 

Helper Class Name: WinInetHelperClass 

Number of parameters: 2 

Attributes passed to helper class: 
URL=""""; AppID=""C:\Program Files\Internet Explorer\iexplore.exe""; ","1000","0",,"4","1","1","-9223301668110598143","82","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1132","3260","rjaf-PC4429","S-1-5-19","5/12/2015 11:19:22 PM","d62e0149-72c7-4c21-91ce-dcee8137e7db",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Start","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. 

Result: Cancelled during diagnosis. [2147500036]","2400","0",,"4","2","2","-9223301668110598143","81","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1060","1244","rjaf-PC4429","S-1-5-19","5/6/2015 8:13:10 AM","c7c32835-4260-4bb2-bfab-946d75e09ecd",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Stop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework started because the user requested a diagnostics session. 

Helper Class Name: WinInetHelperClass 

Number of parameters: 2 

Attributes passed to helper class: 
URL=""""; AppID=""C:\Program Files\Internet Explorer\iexplore.exe""; ","1000","0",,"4","1","1","-9223301668110598143","80","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1060","1244","rjaf-PC4429","S-1-5-19","5/6/2015 8:13:08 AM","c7c32835-4260-4bb2-bfab-946d75e09ecd",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Start","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. 

Result: Cancelled during diagnosis. [2147500036]","2400","0",,"4","2","2","-9223301668110598143","79","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1120","3632","rjaf-PC4429","S-1-5-19","4/22/2015 9:06:37 AM","7ea952bd-4ae7-4f4f-b13e-8ffb548cd0ed",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Stop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework started because the user requested a diagnostics session. 

Helper Class Name: NetConnection 

Number of parameters: 1 

Attributes passed to helper class: 
guid={9819BC20-693D-4f54-9CE8-7BFD5AD735CE};","1000","0",,"4","1","1","-9223301668110598143","78","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1120","3632","rjaf-PC4429","S-1-5-19","4/22/2015 9:06:33 AM","7ea952bd-4ae7-4f4f-b13e-8ffb548cd0ed",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Start","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Diagnostics Framework stopped because it completed the user initiated diagnostics session. 

Result: Success, problems repaired. [0]","2100","0",,"4","2","2","-9223301668110598143","77","Microsoft-Windows-Diagnostics-Networking","36c23e18-0e66-11d9-bbeb-505054503030","Microsoft-Windows-Diagnostics-Networking/Operational","1120","3632","rjaf-PC4429","S-1-5-19","4/22/2015 9:06:30 AM","ac9e1634-9bd8-4a11-8679-2bd451d4f0ec",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-diagnostics-networking%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Stop","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
