#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Completed a Pnp or Power operation (27, 20) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# with status 0x0.","2101","1",,"4","37","2","-9223372036854775808","31078","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","3024","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Received a Pnp or Power operation (27, 20) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# which was completed by the lower drivers with status 0x0","2106","1",,"4","37","1","-9223372036854775808","31077","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","3024","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Forwarded a Pnp or Power operation (27, 20) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# to the lower driver with status 0xC00000BB","2105","1",,"4","37","1","-9223372036854775808","31076","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","3024","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Received a Pnp or Power operation (27, 20) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0#.","2100","1",,"4","37","1","-9223372036854775808","31075","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","3024","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Completed a Pnp or Power operation (27, 9) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# with status 0x0.","2101","1",,"4","37","2","-9223372036854775808","31074","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","4580","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Received a Pnp or Power operation (27, 9) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# which was completed by the lower drivers with status 0x0","2106","1",,"4","37","1","-9223372036854775808","31073","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","4580","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Forwarded a Pnp or Power operation (27, 9) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# to the lower driver with status 0xC00000BB","2105","1",,"4","37","1","-9223372036854775808","31072","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","4580","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Received a Pnp or Power operation (27, 9) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0#.","2100","1",,"4","37","1","-9223372036854775808","31071","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","4580","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Completed a Pnp or Power operation (27, 0) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# with status 0x0.","2101","1",,"4","37","2","-9223372036854775808","31070","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","3024","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Received a Pnp or Power operation (27, 0) for device WPDBUSENUMROOT\UMB\2&37C186B&0&STORAGE#VOLUME#_??_USBSTOR#DISK&VEN_VERBATIM&PROD_STORE_N_GO&REV_1.00#10V2000000005EFB&0# which was completed by the lower drivers with status 0x0","2106","1",,"4","37","1","-9223372036854775808","31069","Microsoft-Windows-DriverFrameworks-UserMode","2e35aaeb-857f-4beb-a418-2e6c0e54d988","Microsoft-Windows-DriverFrameworks-UserMode/Operational","5780","3024","rjaf-PC4429","S-1-5-19","10/17/2015 11:35:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-driverframeworks-usermode%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Pnp or Power Management operation to a particular device.","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
