#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","114","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1528","2588","rjaf-PC4429","S-1-5-19","10/17/2015 11:36:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","113","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1528","2716","rjaf-PC4429","S-1-5-19","9/10/2015 9:21:31 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","112","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1520","5968","rjaf-PC4429","S-1-5-19","9/7/2015 5:18:31 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","111","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1520","4772","rjaf-PC4429","S-1-5-19","9/3/2015 4:56:08 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","110","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1584","5760","rjaf-PC4429","S-1-5-19","8/24/2015 4:50:10 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","109","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1516","4596","rjaf-PC4429","S-1-5-19","8/13/2015 5:47:45 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","108","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1516","4404","rjaf-PC4429","S-1-5-19","8/13/2015 1:53:28 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","107","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1404","5752","rjaf-PC4429","S-1-5-19","7/30/2015 5:28:04 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","106","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1404","3740","rjaf-PC4429","S-1-5-19","7/27/2015 4:54:49 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","105","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1560","2680","rjaf-PC4429","S-1-5-19","6/30/2015 3:39:51 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","104","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1560","4156","rjaf-PC4429","S-1-5-19","6/28/2015 2:01:52 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","103","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1540","188","rjaf-PC4429","S-1-5-19","6/28/2015 1:26:57 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","102","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1540","1572","rjaf-PC4429","S-1-5-19","6/28/2015 2:29:57 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","101","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1496","6064","rjaf-PC4429","S-1-5-19","6/25/2015 1:53:19 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","100","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1496","3720","rjaf-PC4429","S-1-5-19","6/25/2015 11:13:16 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","99","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1508","3532","rjaf-PC4429","S-1-5-19","6/25/2015 4:59:45 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","98","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1508","3696","rjaf-PC4429","S-1-5-19","6/24/2015 4:44:57 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","97","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1404","5600","rjaf-PC4429","S-1-5-19","6/24/2015 5:17:06 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","96","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1404","5888","rjaf-PC4429","S-1-5-19","6/21/2015 4:24:05 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","95","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1436","1452","rjaf-PC4429","S-1-5-19","6/15/2015 12:56:20 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","94","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1520","2964","rjaf-PC4429","S-1-5-19","6/14/2015 1:15:34 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","93","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1520","4868","rjaf-PC4429","S-1-5-19","6/9/2015 3:46:03 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","92","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1412","640","rjaf-PC4429","S-1-5-19","6/8/2015 3:02:05 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","91","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1412","1540","rjaf-PC4429","S-1-5-19","6/6/2015 8:36:29 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","90","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1436","4776","rjaf-PC4429","S-1-5-19","6/6/2015 4:42:31 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","89","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1436","1448","rjaf-PC4429","S-1-5-19","6/6/2015 3:59:16 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","88","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1420","3420","rjaf-PC4429","S-1-5-19","6/5/2015 1:55:46 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service started.","1001","0",,"4","1","11","4611686018695823360","87","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1420","2624","rjaf-PC4429","S-1-5-19","6/5/2015 9:54:36 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Fault Tolerant Heap service stopped.","1002","0",,"4","1","12","4611686018695823360","86","Microsoft-Windows-Fault-Tolerant-Heap","6b93bf66-a922-4c11-a617-cf60d95c133d","Microsoft-Windows-Fault-Tolerant-Heap/Operational","1584","3124","rjaf-PC4429","S-1-5-19","6/5/2015 6:54:40 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-fault-tolerant-heap%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the FTH (fault tolerant heap) service is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
