#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The NLS operation failed because the registry key \Registry\Machine\System\CurrentControlSet\Control\Nls\Locale cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","13","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","1220","1912","rjaf-PC4429","S-1-5-18","4/14/2015 9:45:34 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key HKCU\Control Panel\International cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","12","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","1072","5904","rjaf-PC4429","S-1-5-18","2/26/2015 1:31:01 AM","02b50410-0000-0000-1004-b50230041017",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key HKCU\Control Panel\International cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","11","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","1100","3272","rjaf-PC4429","S-1-5-18","1/14/2015 4:06:19 AM","028d03e8-0000-0000-e803-8d024c04c80c",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key HKCU\Control Panel\International cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","10","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","1128","3612","rjaf-PC4429","S-1-5-20","12/24/2014 12:05:10 AM","002c3d08-0000-0000-083d-2c0068041c0e",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key HKCU\Control Panel\International cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","9","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","1088","632","rjaf-PC4429","S-1-5-20","11/26/2014 12:42:12 PM","00360d38-0000-0000-380d-360040047802",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key HKCU\Control Panel\International cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","8","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","1088","3848","rjaf-PC4429","S-1-5-20","11/9/2014 8:00:06 AM","0016ae40-0000-0000-40ae-16004004080f",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key \Registry\Machine\System\CurrentControlSet\Control\Nls\Locale cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","7","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","860","948","rjaf-PC4429","S-1-5-18","10/19/2014 12:39:54 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key \Registry\Machine\System\CurrentControlSet\Control\Nls\Locale cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","6","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","1336","1224","rjaf-PC4429","S-1-5-18","9/6/2014 6:37:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key HKCU\Control Panel\International cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","5","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","972","608","rjaf-PC4429","S-1-5-18","9/5/2014 7:55:22 AM","0019ca18-0000-0000-18ca-1900cc036002",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The NLS operation failed because the registry key \Registry\Machine\System\CurrentControlSet\Control\Nls\Locale cannot be opened. Error code is 19. Error message: The media is write protected.
","1001","0",,"1","35","31","-9223372036854775808","4","Microsoft-Windows-International","3aa52b8b-6357-4c18-a92e-b53fb177853b","Microsoft-Windows-International/Operational","996","1064","rjaf-PC4429","S-1-5-18","8/16/2014 5:57:58 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-international%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Critical","NLS initialization","NLS locale functions","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
