#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","784","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:27 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","783","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:26 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","782","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:25 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","781","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:24 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","780","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:23 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","779","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:22 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","778","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:22 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","777","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:21 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","776","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:20 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Session ""Circular Kernel Context Logger"" failed to start with the following error: 0xC0000035","2","0",,"2","2","12","-9223372036854775792","775","Microsoft-Windows-Kernel-EventTracing","b675ec37-bdb6-4648-bc92-f3fdc74d3ca2","Microsoft-Windows-Kernel-EventTracing/Admin","4","60","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:20 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-eventtracing%4admin.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Start","Session","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
