#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?09?-?10T13:21:14.424813900Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","401","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","48","rjaf-PC4429","S-1-5-18","9/10/2015 3:21:14 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?09?-?03T12:19:55.532415800Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","400","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","44","rjaf-PC4429","S-1-5-18","9/3/2015 2:19:55 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?08?-?24T14:35:38.034813200Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","399","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","44","rjaf-PC4429","S-1-5-18","8/24/2015 4:35:38 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?08?-?16T13:56:00.393613800Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","398","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","44","rjaf-PC4429","S-1-5-18","8/16/2015 3:56:00 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?08?-?16T08:58:25.315613700Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","397","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","52","rjaf-PC4429","S-1-5-18","8/15/2015 10:58:25 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?08?-?13T09:00:59.658814300Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","396","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","56","rjaf-PC4429","S-1-5-18","8/12/2015 11:00:59 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?07?-?27T08:42:18.003613100Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","395","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","64","rjaf-PC4429","S-1-5-18","7/26/2015 10:42:18 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?07?-?23T13:23:15.988013100Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","394","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","48","rjaf-PC4429","S-1-5-18","7/23/2015 3:23:15 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?07?-?09T12:17:17.112813300Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","393","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","64","rjaf-PC4429","S-1-5-18","7/9/2015 2:17:17 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ACPI thermal zone ACPI\ThermalZone\TZ00 has engaged active cooling.             
EventTime = ?2015?-?07?-?09T12:12:38.535612300Z             
_AC0 = 358K             
_AC1 = 328K             
_AC2 = 273K             
_AC3 = 273K             
_AC4 = 273K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_TMP = 301K","84","0",,"4","81","0","1152921504606847008","392","Microsoft-Windows-Kernel-Power","331c3b3a-2005-44c2-ac5e-77220c37d6b4","Microsoft-Windows-Kernel-Power/Thermal-Operational","4","68","rjaf-PC4429","S-1-5-18","7/9/2015 2:12:38 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-kernel-power%4thermal-operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
