#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"New resource cache built and installed on system. New cache index is 4, live cache index is 4 and config is set to 3.","3007","0",,"4","31","34","-9223372036854775808","18","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","2536","844","rjaf-PC4429","S-1-5-18","12/13/2013 7:57:55 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Build resource cache","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"MUI resource cache builder has been called with the following parameters: (null).","3003","0",,"4","31","30","-9223372036854775808","17","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","2536","844","rjaf-PC4429","S-1-5-18","12/13/2013 7:56:50 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"New resource cache built and installed on system. New cache index is 3, live cache index is 3 and config is set to 3.","3007","0",,"4","31","34","-9223372036854775808","16","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","3200","1944","rjaf-PC4429","S-1-5-18","12/12/2013 7:53:00 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Build resource cache","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"MUI resource cache builder has been called with the following parameters: (null).","3003","0",,"4","31","30","-9223372036854775808","15","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","3200","1944","rjaf-PC4429","S-1-5-18","12/12/2013 7:51:56 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"New resource cache built and installed on system. New cache index is 2, live cache index is 2 and config is set to 3.","3007","0",,"4","31","34","-9223372036854775808","14","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","3608","2808","rjaf-PC4429","S-1-5-18","12/11/2013 12:14:04 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Build resource cache","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"MUI resource cache builder has been called with the following parameters: (null).","3003","0",,"4","31","30","-9223372036854775808","13","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","3608","2808","rjaf-PC4429","S-1-5-18","12/11/2013 12:13:38 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"New resource cache built and installed on system. New cache index is 1, live cache index is 1 and config is set to 3.","3007","0",,"4","31","34","-9223372036854775808","12","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","1856","1860","rjaf-PC","S-1-5-18","12/2/2013 8:48:33 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Build resource cache","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"MUI notification callback API OnMachineUILanguageSwitch in c:\windows\system32\nci.dll returned with code 0.","3002","0",,"4","30","31","-9223372036854775808","11","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","840","1072","rjaf-PC","S-1-5-18","12/2/2013 9:48:21 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Invoke callback function","MUI NotifyUILanguageChange task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"MUI notification callback API OnMachineUILanguageSwitch in c:\windows\system32\timedatemuicallback.dll returned with code 0.","3002","0",,"4","30","31","-9223372036854775808","10","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","840","1072","rjaf-PC","S-1-5-18","12/2/2013 9:48:21 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Invoke callback function","MUI NotifyUILanguageChange task","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"MUI resource cache builder has been called with the following parameters: -m en-US .","3003","0",,"4","31","30","-9223372036854775808","9","Microsoft-Windows-MUI","a8a1f2f6-a13a-45e9-b1fe-3419569e5ef2","Microsoft-Windows-MUI/Operational","1856","1860","rjaf-PC","S-1-5-18","12/2/2013 9:48:21 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-mui%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","MUI resource cache builder","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
