#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Network Disconnected
	Name: Network  5
	Desc: Network
	Type: Unmanaged
	State: Disconnected
	Category: Public
","10001","0",,"4","0","0","4611721202799476736","10802","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","2296","rjaf-PC4429","S-1-5-19","9/7/2015 4:44:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Connected
	Name: Network  5
	Desc: Network
	Type: Unmanaged
	State: Connected,IPV4 (Internet),IPV6 (Local)
	Category: Public
","10000","0",,"4","0","0","4611721202799476736","10801","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","2296","rjaf-PC4429","S-1-5-19","9/7/2015 12:18:19 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Transitioning to State: Identified Network Interface Guid: {9819BC20-693D-4F54-9CE8-7BFD5AD735CE}","4002","0",,"4","1","2","4612002677776187392","10800","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","7132","rjaf-PC4429","S-1-5-19","9/7/2015 12:18:19 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Wait for Identification","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Connected
	Name: Identifying...
	Desc: Identifying...
	Type: Unmanaged
	State: Connected
	Category: Public
","10000","0",,"4","0","0","4611721202799476736","10799","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","2296","rjaf-PC4429","S-1-5-19","9/7/2015 12:18:16 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Entered State: Identifying Network Interface Guid: {9819BC20-693D-4F54-9CE8-7BFD5AD735CE}","4001","0",,"4","1","1","4611721202799476736","10798","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","7132","rjaf-PC4429","S-1-5-19","9/7/2015 12:18:16 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start","Wait for Identification","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Disconnected
	Name: Network  5
	Desc: Network
	Type: Unmanaged
	State: Disconnected
	Category: Public
","10001","0",,"4","0","0","4611721202799476736","10797","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","2296","rjaf-PC4429","S-1-5-19","9/6/2015 10:46:13 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Connected
	Name: Network  5
	Desc: Network
	Type: Unmanaged
	State: Connected,IPV4 (Internet),IPV6 (Local)
	Category: Public
","10000","0",,"4","0","0","4611721202799476736","10796","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","2296","rjaf-PC4429","S-1-5-19","9/6/2015 3:31:53 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Transitioning to State: Identified Network Interface Guid: {9819BC20-693D-4F54-9CE8-7BFD5AD735CE}","4002","0",,"4","1","2","4612002677776187392","10795","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","7864","rjaf-PC4429","S-1-5-19","9/6/2015 3:31:53 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop","Wait for Identification","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Connected
	Name: Identifying...
	Desc: Identifying...
	Type: Unmanaged
	State: Connected,IPV6 (Local)
	Category: Public
","10000","0",,"4","0","0","4611721202799476736","10794","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","2296","rjaf-PC4429","S-1-5-19","9/6/2015 3:31:51 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Network Disconnected
	Name: Network  5
	Desc: Network
	Type: Unmanaged
	State: Disconnected
	Category: Public
","10001","0",,"4","0","0","4611721202799476736","10793","Microsoft-Windows-NetworkProfile","fbcfac3f-8459-419f-8e48-1f0b49cdb85e","Microsoft-Windows-NetworkProfile/Operational","1520","2296","rjaf-PC4429","S-1-5-19","9/6/2015 3:31:51 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-networkprofile%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
