#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Windows Resource Exhaustion Detector stopped.","1002","0",,"4","1","12","4611686018695823360","727","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1724","1172","rjaf-PC4429","S-1-5-19","10/17/2015 11:36:40 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector stopped.","1002","0",,"4","1","12","4611686018695823360","726","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1364","3356","rjaf-PC4429","S-1-5-18","9/10/2015 4:46:29 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector started.","1001","0",,"4","1","11","4611686018695823360","725","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1364","2812","rjaf-PC4429","S-1-5-18","9/10/2015 4:26:33 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector started.","1001","0",,"4","1","11","4611686018695823360","724","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1724","3684","rjaf-PC4429","S-1-5-19","9/10/2015 3:29:45 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector stopped.","1002","0",,"4","1","12","4611686018695823360","723","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1764","6292","rjaf-PC4429","S-1-5-19","9/7/2015 5:18:31 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector stopped.","1002","0",,"4","1","12","4611686018695823360","722","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1364","4716","rjaf-PC4429","S-1-5-18","9/3/2015 4:15:17 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector started.","1001","0",,"4","1","11","4611686018695823360","721","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1364","4172","rjaf-PC4429","S-1-5-18","9/3/2015 3:55:20 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector started.","1001","0",,"4","1","11","4611686018695823360","720","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1764","2348","rjaf-PC4429","S-1-5-19","9/3/2015 2:20:12 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector started.","1001","0",,"4","1","11","4611686018695823360","719","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1868","3716","rjaf-PC4429","S-1-5-19","8/24/2015 4:43:46 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Detector stopped.","1002","0",,"4","1","12","4611686018695823360","718","Microsoft-Windows-Resource-Exhaustion-Detector","9988748e-c2e8-4054-85f6-0c3e1cad2470","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","1616","4900","rjaf-PC4429","S-1-5-19","8/16/2015 5:25:02 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-detector%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion detector is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
