#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Windows Resource Exhaustion Resolver stopped.","1002","0",,"4","1","12","-9223372036854771712","69","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","2772","3760","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","10/17/2015 11:36:34 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion resolver is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver received a notification to perform memory leak diagnosis. This notification was processed and dropped.","1014","0",,"4","5","41","-9223372036854759424","68","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","2772","1044","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/10/2015 4:26:33 AM","540b8ff5-377a-4a11-ac51-f16ef8a4d2ae",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged after an attempt to launch the leak diagnoser is made.","Leak Diagnosis Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver received an event from the Windows Resource Exhaustion Detector.","1015","0",,"4","3","21","-9223372036854767616","67","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","2772","1044","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/10/2015 4:26:33 AM","540b8ff5-377a-4a11-ac51-f16ef8a4d2ae",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when diagnosis is started.","Resolution Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver started.","1001","0",,"4","1","11","-9223372036854771712","66","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","2772","1044","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/10/2015 4:26:33 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion resolver is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver stopped.","1002","0",,"4","1","12","-9223372036854771712","65","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","1148","168","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-500","9/7/2015 5:17:34 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion resolver is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver received a notification to perform memory leak diagnosis. This notification was processed and dropped.","1014","0",,"4","5","41","-9223372036854759424","64","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","1148","4216","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-500","9/3/2015 3:55:27 AM","1683ae15-ed8b-4c48-b4f0-82bf197329eb",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged after an attempt to launch the leak diagnoser is made.","Leak Diagnosis Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver received an event from the Windows Resource Exhaustion Detector.","1015","0",,"4","3","21","-9223372036854767616","63","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","1148","4216","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-500","9/3/2015 3:55:20 AM","1683ae15-ed8b-4c48-b4f0-82bf197329eb",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when diagnosis is started.","Resolution Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver started.","1001","0",,"4","1","11","-9223372036854771712","62","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","1148","4216","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-500","9/3/2015 3:55:20 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion resolver is started.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver stopped.","1002","0",,"4","1","12","-9223372036854771712","61","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","4876","5368","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","7/30/2015 5:27:57 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged when the resource exhaustion resolver is stopped.","Lifecycle Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Resource Exhaustion Resolver received a notification to perform memory leak diagnosis. This notification was processed and dropped.","1014","0",,"4","5","41","-9223372036854759424","60","Microsoft-Windows-Resource-Exhaustion-Resolver","91f5fb12-fdea-4095-85d5-614b495cd9de","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","4876","6108","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","7/27/2015 8:26:08 AM","d3dbc883-4093-468e-b375-4a1834a9fc21",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-resource-exhaustion-resolver%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Events logged after an attempt to launch the leak diagnoser is made.","Leak Diagnosis Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
