#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Remote Desktop Services: Session logoff succeeded:

User: RJAF-PC4429\rjaf
Session ID: 1","23","0",,"4","0","0","1152921504606846976","1358","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","624","4492","rjaf-PC4429","S-1-5-18","10/17/2015 11:36:35 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Shell start notification received:

User: RJAF-PC4429\rjaf
Session ID: 1
Source Network Address: LOCAL","22","0",,"4","0","0","1152921504606846976","1357","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","624","3200","rjaf-PC4429","S-1-5-18","9/10/2015 3:29:46 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Session logon succeeded:

User: RJAF-PC4429\rjaf
Session ID: 1
Source Network Address: LOCAL","21","0",,"4","0","0","1152921504606846976","1356","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","624","3200","rjaf-PC4429","S-1-5-18","9/10/2015 3:29:46 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Session logoff succeeded:

User: RJAF-PC4429\rjaf
Session ID: 1","23","0",,"4","0","0","1152921504606846976","1355","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","612","6728","rjaf-PC4429","S-1-5-18","9/7/2015 5:17:43 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Session logoff succeeded:

User: RJAF-PC4429\Administrator
Session ID: 2","23","0",,"4","0","0","1152921504606846976","1354","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","612","912","rjaf-PC4429","S-1-5-18","9/7/2015 5:17:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Session has been disconnected:

User: RJAF-PC4429\rjaf
Session ID: 1
Source Network Address: LOCAL","24","0",,"4","0","0","1152921504606846976","1353","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","612","7428","rjaf-PC4429","S-1-5-18","9/7/2015 5:17:25 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Session reconnection succeeded:

User: RJAF-PC4429\rjaf
Session ID: 1
Source Network Address: LOCAL","25","0",,"4","0","0","1152921504606846976","1352","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","612","8008","rjaf-PC4429","S-1-5-18","9/6/2015 3:33:10 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Session has been disconnected:

User: RJAF-PC4429\Administrator
Session ID: 2
Source Network Address: LOCAL","24","0",,"4","0","0","1152921504606846976","1351","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","612","2516","rjaf-PC4429","S-1-5-18","9/6/2015 3:32:17 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Shell start notification received:

User: RJAF-PC4429\Administrator
Session ID: 2
Source Network Address: LOCAL","22","0",,"4","0","0","1152921504606846976","1350","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","612","4908","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:15 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: Session logon succeeded:

User: RJAF-PC4429\Administrator
Session ID: 2
Source Network Address: LOCAL","21","0",,"4","0","0","1152921504606846976","1349","Microsoft-Windows-TerminalServices-LocalSessionManager","5d896912-022d-40aa-a3a8-4fa5515c76d7","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","612","4908","rjaf-PC4429","S-1-5-18","9/3/2015 3:19:15 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-terminalservices-localsessionmanager%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
