#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","92","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","2504","3136","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","12/10/2013 6:41:48 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","91","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3656","3296","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","12/10/2013 6:41:28 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","90","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","89","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","88","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","87","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","86","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","85","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","84","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The process failed to handle ERROR_ELEVATION_REQUIRED during the creation of a child process.","1","0",,"2","1","0","-9223372036854775808","83","Microsoft-Windows-UAC","e7558269-3fa5-46ed-9f4d-3c6e282dde55","Microsoft-Windows-UAC/Operational","3544","1228","rjaf-PC","S-1-5-21-1634558665-2257203147-3060767804-1000","12/3/2013 8:53:41 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
