#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Operation on file ""\Device\HarddiskVolume2\Program Files\Common Files\Intel\IGFSRVC.dll"" excluded from virtualization.","5000","0",,"5","0","0","-9223372036854775808","19","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","4760","5672","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","5/19/2015 12:52:17 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Verbose","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Operation on file ""\Device\HarddiskVolume2\Program Files\Common Files\Intel\IGFSRVC.dll"" excluded from virtualization.","5000","0",,"5","0","0","-9223372036854775808","18","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","4760","5672","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","5/19/2015 12:52:17 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Verbose","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Virtual file ""\Device\HarddiskVolume2\Program Files\Common Files\Intel"" created.","4000","0",,"4","0","0","-9223372036854775808","17","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","4760","5672","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","5/19/2015 12:52:17 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Operation on file ""\Device\HarddiskVolume2\Program Files\Common Files\microsoft shared\MSInfo\advstorshell.dll"" excluded from virtualization.","5000","0",,"5","0","0","-9223372036854775808","16","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","3188","3192","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","5/13/2015 11:15:42 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Verbose","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Operation on file ""\Device\HarddiskVolume2\Program Files\Common Files\microsoft shared\MSInfo\advstorshell.dll"" excluded from virtualization.","5000","0",,"5","0","0","-9223372036854775808","15","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","2040","6736","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","4/30/2015 11:55:38 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Verbose","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Operation on file ""\Device\HarddiskVolume2\Program Files\Common Files\microsoft shared\MSInfo\advstorshell.dll"" excluded from virtualization.","5000","0",,"5","0","0","-9223372036854775808","14","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","3968","3080","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","4/6/2015 12:48:06 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Verbose","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Virtual file ""\Device\HarddiskVolume2\Windows\Run32A40.mch"" created.","4000","0",,"4","0","0","-9223372036854775808","13","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","1208","592","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","12/14/2014 10:57:13 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Virtual file ""\Device\HarddiskVolume2\Windows\A4W.INI"" created.","4000","0",,"4","0","0","-9223372036854775808","12","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","1208","592","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","12/14/2014 10:56:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Virtual delete of file ""\Device\HarddiskVolume2\Windows\A4W_DATA\Start.rec"" requested.","4002","0",,"4","0","0","-9223372036854775808","11","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","1208","592","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","12/14/2014 10:56:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Virtual file ""\Device\HarddiskVolume2\Windows\A4W_DATA\Start.rec"" created.","4000","0",,"4","0","0","-9223372036854775808","10","Microsoft-Windows-UAC-FileVirtualization","c02afc2b-e24e-4449-ad76-bcc2c2575ead","Microsoft-Windows-UAC-FileVirtualization/Operational","1208","592","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","12/14/2014 10:56:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-uac-filevirtualization%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
