#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Finished processing user logoff notification on session 1.","4","0",,"4","0","0","4611686018427387904","2486","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1416","1588","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","10/17/2015 11:36:36 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Recieved user logoff notification on session 1.","3","0",,"4","0","0","4611686018427387904","2485","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1416","1588","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","10/17/2015 11:36:36 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Finished processing user logon notification on session 1.","2","0",,"4","0","0","4611686018427387904","2484","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1416","2096","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/10/2015 3:29:46 AM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry file C:\Users\rjaf\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-1634558665-2257203147-3060767804-1000_Classes.","5","0",,"4","0","0","4611686018427387904","2483","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1416","3772","rjaf-PC4429","S-1-5-18","9/10/2015 3:29:46 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry file C:\Users\rjaf\ntuser.dat is loaded at HKU\S-1-5-21-1634558665-2257203147-3060767804-1000.","5","0",,"4","0","0","4611686018427387904","2482","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1416","3772","rjaf-PC4429","S-1-5-18","9/10/2015 3:29:45 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Recieved user logon notification on session 1.","1","0",,"4","0","0","4611686018427387904","2481","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1416","2096","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/10/2015 3:29:44 AM","86303c9c-5e4f-0002-8268-7167b2ebd001",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Finished processing user logoff notification on session 1.","4","0",,"4","0","0","4611686018427387904","2480","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1392","5280","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/7/2015 5:17:44 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Recieved user logoff notification on session 1.","3","0",,"4","0","0","4611686018427387904","2479","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1392","5280","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/7/2015 5:17:43 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Finished processing user logoff notification on session 2.","4","0",,"4","0","0","4611686018427387904","2478","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1392","6200","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-500","9/7/2015 5:17:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Recieved user logoff notification on session 2.","3","0",,"4","0","0","4611686018427387904","2477","Microsoft-Windows-User Profiles Service","89b1e9f0-5aff-44a6-9b44-0a07a7ce5845","Microsoft-Windows-User Profile Service/Operational","1392","6200","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-500","9/7/2015 5:17:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-user profile service%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
