#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","936","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","2436","3684","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/10/2015 9:21:29 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","935","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","8088","5636","rjaf-PC4429","S-1-5-18","9/6/2015 3:31:20 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","934","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","2824","5372","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","9/3/2015 4:56:06 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","933","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","4960","3560","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/26/2015 1:50:29 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","932","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","4848","1280","rjaf-PC4429","S-1-5-18","8/24/2015 4:50:08 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","931","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","4896","4700","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/13/2015 5:17:15 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","930","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","3788","4988","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","8/13/2015 1:53:28 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","929","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","3076","3624","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","7/27/2015 4:54:48 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","928","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","3400","3152","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/29/2015 3:35:38 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","927","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","5440","5888","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/29/2015 12:05:54 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","926","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","4324","4640","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/29/2015 12:05:46 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","925","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","4660","5676","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/28/2015 4:08:24 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","924","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","4664","4780","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/28/2015 4:08:14 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","923","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","3432","4544","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/28/2015 3:08:00 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","922","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","5544","5252","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/28/2015 2:37:50 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","921","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","3248","1484","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/28/2015 2:37:40 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","920","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","5560","3768","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/28/2015 2:07:28 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Possible heap corruption detected (exception code 3221225477). Initiating further diagnostics.","2","0",,"4","0","0","-9222246136947933184","919","Microsoft-Windows-WER-Diag","ad8aa069-a01b-40a0-ba40-948d1d8dedc5","Microsoft-Windows-WER-Diag/Operational","5780","6108","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","6/28/2015 2:07:20 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-wer-diag%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
