#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Windows Defender scanning for spyware and other potentially unwanted software is disabled.","5010","0",,"4","0","0","-9223372036854775808","836","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","2768","2468","rjaf-PC4429","S-1-5-18","5/14/2015 12:25:23 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender has removed history of malware and other potentially unwanted software.
 	Time: 4/13/2015 9:27:33 PM
 	User: NT AUTHORITY\SYSTEM
","1013","0",,"4","0","0","-9223372036854775808","835","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","1604","3428","rjaf-PC4429","S-1-5-18","5/13/2015 11:27:34 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender scan has finished.
 	Scan ID: {A17CD8C9-DCF9-4885-B1D4-075D96DBF667}
 	Scan Type: AntiSpyware
 	Scan Parameters: Quick Scan
 	User: NT AUTHORITY\NETWORK SERVICE
 	Scan Time: 0:05:08","1001","0",,"4","0","0","-9223372036854775808","834","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","976","2512","rjaf-PC4429","S-1-5-18","5/12/2015 4:27:02 PM","5934719a-7fff-46c1-93c0-014cfd937ea9",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender scan has started.
 	Scan ID: {A17CD8C9-DCF9-4885-B1D4-075D96DBF667}
 	Scan Type: AntiSpyware
 	Scan Parameters: Quick Scan
 	Scan Resources: 
 	User: NT AUTHORITY\NETWORK SERVICE","1000","0",,"4","0","0","-9223372036854775808","833","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","976","2512","rjaf-PC4429","S-1-5-18","5/12/2015 4:21:53 PM","e70d9705-e28a-4d2f-b36e-eb969d981a75",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender has removed history of malware and other potentially unwanted software.
 	Time: 4/11/2015 10:41:59 AM
 	User: NT AUTHORITY\SYSTEM
","1013","0",,"4","0","0","-9223372036854775808","832","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","2028","2076","rjaf-PC4429","S-1-5-18","5/11/2015 12:42:00 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender has removed history of malware and other potentially unwanted software.
 	Time: 4/8/2015 5:19:05 PM
 	User: NT AUTHORITY\SYSTEM
","1013","0",,"4","0","0","-9223372036854775808","831","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","2988","1460","rjaf-PC4429","S-1-5-18","5/8/2015 7:19:05 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender scan has finished.
 	Scan ID: {B11C0768-2986-4CC8-A10B-502A4B127E07}
 	Scan Type: AntiSpyware
 	Scan Parameters: Quick Scan
 	User: NT AUTHORITY\NETWORK SERVICE
 	Scan Time: 0:04:27","1001","0",,"4","0","0","-9223372036854775808","830","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","3740","1192","rjaf-PC4429","S-1-5-18","5/7/2015 12:27:05 AM","2df37bf9-eb41-46ee-9099-6d10f892dc76",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender scan has started.
 	Scan ID: {B11C0768-2986-4CC8-A10B-502A4B127E07}
 	Scan Type: AntiSpyware
 	Scan Parameters: Quick Scan
 	Scan Resources: 
 	User: NT AUTHORITY\NETWORK SERVICE","1000","0",,"4","0","0","-9223372036854775808","829","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","3740","1192","rjaf-PC4429","S-1-5-18","5/7/2015 12:22:38 AM","15eed633-1d24-4fd5-9a9d-1f9a0e2dcf04",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender has removed history of malware and other potentially unwanted software.
 	Time: 4/6/2015 12:18:31 PM
 	User: NT AUTHORITY\SYSTEM
","1013","0",,"4","0","0","-9223372036854775808","828","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","1580","600","rjaf-PC4429","S-1-5-18","5/6/2015 2:18:32 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender scan has finished.
 	Scan ID: {6604999E-304A-455D-A433-9856CEB8F08F}
 	Scan Type: AntiSpyware
 	Scan Parameters: Quick Scan
 	User: NT AUTHORITY\NETWORK SERVICE
 	Scan Time: 0:05:54","1001","0",,"4","0","0","-9223372036854775808","827","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/Operational","3728","3108","rjaf-PC4429","S-1-5-18","5/5/2015 11:36:09 PM","9dfb134e-f46a-42d3-b421-54a9ae66da29",,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
