#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Windows Defender state updated to 1.","101","0",,"0","0","0","4611686018427387904","1435","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","2768","1992","rjaf-PC4429","S-1-5-18","5/14/2015 12:25:23 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 10.","101","0",,"0","0","0","4611686018427387904","1434","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","2768","2472","rjaf-PC4429","S-1-5-18","5/13/2015 1:31:27 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 10.","101","0",,"0","0","0","4611686018427387904","1433","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","2768","2988","rjaf-PC4429","S-1-5-18","5/13/2015 1:31:24 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 10.","101","0",,"0","0","0","4611686018427387904","1432","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","1604","2380","rjaf-PC4429","S-1-5-18","5/13/2015 11:17:33 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 10.","101","0",,"0","0","0","4611686018427387904","1431","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","1604","2376","rjaf-PC4429","S-1-5-18","5/13/2015 11:17:22 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 2.","101","0",,"0","0","0","4611686018427387904","1430","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","976","3280","rjaf-PC4429","S-1-5-18","5/13/2015 7:48:12 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 10.","101","0",,"0","0","0","4611686018427387904","1429","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","976","3076","rjaf-PC4429","S-1-5-18","5/12/2015 4:27:02 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 3.","101","0",,"0","0","0","4611686018427387904","1428","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","976","3004","rjaf-PC4429","S-1-5-18","5/12/2015 4:21:53 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 10.","101","0",,"0","0","0","4611686018427387904","1427","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","976","3184","rjaf-PC4429","S-1-5-18","5/12/2015 2:32:30 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Defender state updated to 10.","101","0",,"0","0","0","4611686018427387904","1426","Microsoft-Windows-Windows Defender","11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78","Microsoft-Windows-Windows Defender/WHC","976","2496","rjaf-PC4429","S-1-5-18","5/12/2015 2:32:27 AM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windows defender%4whc.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
