#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"WinSAT Application Stop: 0","3","0",,"0","1","2","-9223372036854775808","306","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:32 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"140","10","0",,"4","1","0","-9223372036854775808","305","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:32 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"140:Restore system policies","9","0",,"4","1","0","-9223372036854775808","304","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"150:Cleanup and exit","9","0",,"4","1","0","-9223372036854775808","303","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"130","10","0",,"4","1","0","-9223372036854775808","302","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"130:Process Results","9","0",,"4","1","0","-9223372036854775808","301","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"1009","10","0",,"4","1","0","-9223372036854775808","300","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:31 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"1009:Run Assessment, mediaex, -input C:\Windows\Performance\WinSAT\Clip_480_5sec_6mbps_h264.mp4 -video offscreen -audio mute -width 100%m -height 100%m -constrain -savereg -autoprofname -expfrmmin 270 -expfrmmax 300 -overrideframetype int2fps","9","0",,"4","1","0","-9223372036854775808","299","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:25 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"1009","10","0",,"4","1","0","-9223372036854775808","298","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:25 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"1009:Run Assessment, mediaex, -input C:\Windows\Performance\WinSAT\Clip_1080_5sec_10mbps_h264.mp4 -video offscreen -audio mute -width 100%m -height 100%m -constrain -savereg -autoprofname -expfrmmin 135 -expfrmmax 150 -overrideframetype prog","9","0",,"4","1","0","-9223372036854775808","297","Microsoft-Windows-WindowsSystemAssessmentTool","11a75546-3234-465e-bec8-2d301cb501ac","Microsoft-Windows-WindowsSystemAssessmentTool/Operational","3800","2632","rjaf-PC4429","S-1-5-21-1634558665-2257203147-3060767804-1000","3/1/2014 3:02:18 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowssystemassessmenttool%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
