#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Windows Update received a service shutdown request.","39","0",,"4","1","17","4611686018427388544","119116","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","3652","rjaf-PC4429","S-1-5-18","10/17/2015 11:36:38 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","State Change","Windows Update Agent","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"There has been a change in the health of Windows Update.","42","0",,"4","2","18","4611686018427389056","119115","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","3652","rjaf-PC4429","S-1-5-18","10/17/2015 11:36:38 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Other","Automatic Updates","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"There has been a change in the health of Windows Update.","42","0",,"4","2","18","4611686018427389056","119114","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:41:03 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Other","Automatic Updates","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"There has been a change in the health of Windows Update.","42","0",,"4","2","18","4611686018427389056","119113","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:41:03 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Other","Automatic Updates","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"There has been a change in the health of Windows Update.","42","0",,"4","2","18","4611686018427389056","119112","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:41:03 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Other","Automatic Updates","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Update failed to check for updates with error 0x8024001F.","25","0",,"2","1","11","4611686018427387938","119111","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:35:57 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Check for Updates","Windows Update Agent","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Windows Update failed to check for updates with error 0x8024001F.","25","0",,"2","1","11","4611686018427387938","119110","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:35:57 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Check for Updates","Windows Update Agent","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"There has been a change in the health of Windows Update.","42","0",,"4","2","18","4611686018427389056","119109","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:30:58 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Other","Automatic Updates","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"There has been a change in the health of Windows Update.","42","0",,"4","2","18","4611686018427389056","119108","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:30:58 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Other","Automatic Updates","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"There has been a change in the health of Windows Update.","42","0",,"4","2","18","4611686018427389056","119107","Microsoft-Windows-WindowsUpdateClient","945a8954-c147-4acd-923f-40c45405a658","Microsoft-Windows-WindowsUpdateClient/Operational","1416","4872","rjaf-PC4429","S-1-5-18","10/17/2015 10:30:58 PM",,,"c:\users\mac_1\desktop\winevt\logs\microsoft-windows-windowsupdateclient%4operational.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Other","Automatic Updates","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
