#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
,"999",,"0","4","0",,"36028797018963968","12","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"5/19/2015 1:58:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"205",,"0","4","0",,"36028797018963968","11","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"5/19/2015 1:58:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"213",,"0","4","0",,"36028797018963968","10","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"5/19/2015 1:58:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"201",,"0","4","0",,"36028797018963968","9","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"5/19/2015 1:58:35 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"999",,"0","4","0",,"36028797018963968","8","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"11/24/2014 11:49:37 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"205",,"0","4","0",,"36028797018963968","7","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"11/24/2014 11:49:37 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"213",,"0","4","0",,"36028797018963968","6","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"11/24/2014 11:49:37 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"201",,"0","4","0",,"36028797018963968","5","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"11/24/2014 11:49:37 AM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"999",,"0","4","0",,"36028797018963968","4","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"10/2/2014 1:17:14 PM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"205",,"0","4","0",,"36028797018963968","3","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"10/2/2014 1:17:14 PM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"213",,"0","4","0",,"36028797018963968","2","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"10/2/2014 1:17:14 PM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
,"201",,"0","4","0",,"36028797018963968","1","Microsoft Office 12 Diagnostics",,"ODiag",,,"rjaf-PC4429",,"10/2/2014 1:17:14 PM",,,"c:\users\mac_1\desktop\winevt\logs\odiag.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark",,,,,"System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
